7.4,1000,7.3,1000,1000,1000,1000,1000,1000,1000,10,8.3,10.3,7,8.4,1000,1000,1000,5.5
5.6,5.5,1000,2.5,1000,1000,1000,8,7.4,5.9,1000,7.5,5.9,3.85,1000,1000,1000,1000,5.5
6.6,7.7,4.3,1000,5,7,1000,7.3,6.3,7.5,1000,7.5,6,4.1,1000,1000,1000,1000,6.5
7.6,1000,1000,3.6,1000,5.5,3,5,1000,1000,1000,1000,10,4.4,6.7,1000,5.9,1000,6.7
7.5,7.6,7.5,7.4,5.7,1000,6,1000,1000,1000,1000,1000,7.9,1000,1000,1000,1000,1000,5.7
1000,1000,1000,1000,4.5,5.4,1000,8.8,1000,1000,1000,1000,1000,6.4,7.4,1000,4.2,7.8,1000
1000,1000,1000,9.5,1000,1000,8.6,1000,12,1000,1000,1000,13.5,1000,1000,1000,7.4,6.8,1000
1000,10.5,10.5,9,1000,1000,1000,7.2,1000,8.5,1000,6,6.8,1000,1000,1000,1000,1000,1000
1000,8.9,6.3,9.5,1000,1000,1000,1000,9.5,1000,8,9.4,8.5,1000,1000,1000,1000,13.4,1000
1000,9.7,1000,1000,1000,1000,1000,1000,1000,5.4,1000,2.6,1000,1000,1000,1000,1000,10,1000
1000,8.5,6.2,8.7,1000,1000,1000,1000,6.3,7.5,3.3,1000,5.4,1000,1000,1000,1000,1000,1000
7.4,8.5,6.2,8.5,1000,1000,1000,1000,6.9,7,1000,6,1000,6,8.85,1000,1000,1000,1000
3.9,4.4,3.7,4.3,5,1000,1000,1000,1000,1000,1000,1000,5.3,1000,5.4,1000,6.1,1000,3.9
5.7,7.9,1000,1000,8.3,2.5,8.8,9.1,1000,1000,1000,1000,8,4.5,1000,5.1,5.2,1000,4.9
7.2,9.3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,9,1000,4.2,1000,2.6,5,5.5
1000,1000,1000,7.5,6.9,4,6.2,6.4,1000,1000,1000,1000,1000,5.4,5.6,1.9,1000,3.7,1000
1000,1000,1000,13.9,11.4,10,11.7,9.6,1000,1000,12,1000,17.2,1000,1000,11,10.7,1000,8.4
3.4,4.6,5.2,7.3,1000,1000,1000,1000,1000,1000,10.5,1000,6.7,4.1,5,5,1000,3.6,1000
1000,4.3,4,5.7,1000,1000,1000,1000,1000,1000,1000,1000,5.2,3.8,3.8,6.9,1000,1000,2
